file_x,file_y,decision,VGG-Face_cosine,VGG-Face_euclidean,VGG-Face_euclidean_l2,Facenet_cosine,Facenet_euclidean,Facenet_euclidean_l2,DeepFace_cosine,DeepFace_euclidean,DeepFace_euclidean_l2
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_8-min.JPG,Yes,0.1714,0.3534,0.5855,0.2471,8.4944,0.703,0.2931,61.3685,0.7657
Dataset/IU_student/ITITIU17098\ITITIU17098_1.jpg,Dataset/IU_student/ITITIU17098\ITITIU17098_9-min.JPG,Yes,0.1553,0.3353,0.5573,0.2535,8.4895,0.712,0.3585,69.248,0.8468
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Yes,0.0434,0.1964,0.2947,0.1228,5.8897,0.4956,0.1355,45.0727,0.5207
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Yes,0.0543,0.1807,0.3296,0.0683,4.4114,0.3697,0.1862,47.1756,0.6103
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Yes,0.0445,0.1678,0.2984,0.099,5.3002,0.445,0.1529,42.947,0.553
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Yes,0.0376,0.1412,0.2741,0.0974,5.2773,0.4414,0.1906,48.3703,0.6174
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Yes,0.0457,0.18,0.3023,0.1134,5.6548,0.4763,0.1294,40.5444,0.5087
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Yes,0.0369,0.1442,0.2717,0.0749,4.6173,0.387,0.1493,43.152,0.5465
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_17-min.JPG,Yes,0.0322,0.1315,0.2537,0.0462,3.6622,0.304,0.2056,49.5897,0.6412
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_18-min.JPG,Yes,0.0279,0.1355,0.2361,0.0486,3.7239,0.3117,0.1224,39.446,0.4948
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_19-min.JPG,Yes,0.0716,0.1956,0.3784,0.1433,6.3967,0.5354,0.2043,49.5055,0.6391
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_2-min.jpg,Yes,0.266,0.4693,0.7294,0.411,10.3211,0.9067,0.2942,57.8625,0.7671
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_20-min.JPG,Yes,0.0244,0.1237,0.2207,0.0343,3.1358,0.2619,0.1127,37.123,0.4748
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_3-min.jpg,Yes,0.2871,0.3912,0.7578,0.2502,8.6901,0.7074,0.2951,64.2112,0.7683
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_4-min.jpg,Yes,0.1524,0.3302,0.5521,0.1377,6.3909,0.5247,0.2214,53.2671,0.6654
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_5-min.jpg,Yes,0.1218,0.283,0.4936,0.1394,6.4604,0.5281,0.2691,56.6699,0.7336
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_6-min.JPG,Yes,0.0432,0.153,0.2941,0.1901,7.3848,0.6166,0.246,53.2328,0.7014
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_7-min.JPG,Yes,0.0362,0.1493,0.2692,0.0668,4.3842,0.3654,0.1404,41.4071,0.5299
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_8-min.JPG,Yes,0.0613,0.1944,0.3501,0.09,5.0982,0.4243,0.1998,50.4234,0.6322
Dataset/IU_student/ITITIU17098\ITITIU17098_10-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_9-min.JPG,Yes,0.0151,0.0902,0.1737,0.0155,2.1269,0.1761,0.0734,31.2828,0.3831
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Yes,0.0205,0.1358,0.2026,0.0949,5.1063,0.4356,0.2052,54.3477,0.6406
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Yes,0.0152,0.1179,0.1746,0.0493,3.675,0.314,0.1897,52.4694,0.616
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Yes,0.0505,0.221,0.3178,0.1318,6.0398,0.5134,0.2343,58.0791,0.6846
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Yes,0.0258,0.1413,0.227,0.0609,4.0697,0.3491,0.1837,52.0865,0.6062
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Yes,0.0304,0.1658,0.2466,0.1379,6.1566,0.5252,0.1967,53.6095,0.6271
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_17-min.JPG,Yes,0.0471,0.2018,0.3068,0.1438,6.3703,0.5363,0.2787,62.614,0.7466
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_18-min.JPG,Yes,0.0282,0.1517,0.2374,0.0909,5.0024,0.4263,0.1741,50.7633,0.5901
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_19-min.JPG,Yes,0.0927,0.2653,0.4305,0.2364,8.0831,0.6876,0.2741,62.1847,0.7404
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_2-min.jpg,Yes,0.254,0.472,0.7127,0.4982,11.1228,0.9982,0.3133,65.3884,0.7915
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_20-min.JPG,Yes,0.0547,0.2051,0.3306,0.1492,6.4277,0.5463,0.2357,58.085,0.6866
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_3-min.jpg,Yes,0.2769,0.4339,0.7442,0.3123,9.5795,0.7903,0.386,77.3346,0.8787
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_4-min.jpg,Yes,0.1355,0.3236,0.5206,0.2231,8.027,0.668,0.2843,64.5268,0.7541
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_5-min.jpg,Yes,0.1377,0.3194,0.5247,0.2238,8.0783,0.6691,0.3577,70.4616,0.8458
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_6-min.JPG,Yes,0.0713,0.2543,0.3775,0.2548,8.4173,0.7139,0.2442,58.6134,0.6988
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_7-min.JPG,Yes,0.0619,0.2167,0.3519,0.181,7.1086,0.6016,0.2036,54.2751,0.6381
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_8-min.JPG,Yes,0.0693,0.2276,0.3724,0.1331,6.1095,0.516,0.2059,55.0422,0.6417
Dataset/IU_student/ITITIU17098\ITITIU17098_11-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_9-min.JPG,Yes,0.043,0.1946,0.2931,0.132,5.985,0.5138,0.1424,46.415,0.5337
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Yes,0.0036,0.048,0.0843,0.0251,2.6307,0.2239,0.0223,15.5136,0.2113
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Yes,0.0444,0.1699,0.298,0.0664,4.3022,0.3644,0.1054,34.3851,0.4591
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Yes,0.0249,0.1309,0.223,0.0997,5.2274,0.4466,0.2108,49.8197,0.6493
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Yes,0.0384,0.1525,0.2772,0.0386,3.2709,0.2779,0.138,39.8178,0.5253
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_17-min.JPG,Yes,0.05,0.1736,0.3162,0.0412,3.4266,0.2869,0.1072,33.8739,0.463
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_18-min.JPG,Yes,0.0305,0.1384,0.247,0.0289,2.8318,0.2404,0.1313,39.5226,0.5124
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_19-min.JPG,Yes,0.0994,0.2419,0.4458,0.148,6.4209,0.5441,0.1948,45.7834,0.6241
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_2-min.jpg,Yes,0.2557,0.4632,0.7151,0.4096,10.147,0.9051,0.3456,58.7708,0.8313
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_20-min.JPG,Yes,0.0597,0.1917,0.3456,0.0612,4.1302,0.3497,0.149,40.4091,0.546
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_3-min.jpg,Yes,0.256,0.3848,0.7156,0.2687,8.9191,0.7331,0.333,66.1849,0.8161
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_4-min.jpg,Yes,0.1354,0.313,0.5203,0.1524,6.6606,0.5521,0.2873,58.3645,0.758
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_5-min.jpg,Yes,0.1454,0.3113,0.5393,0.1502,6.6476,0.5482,0.3245,59.0262,0.8056
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_6-min.JPG,Yes,0.0643,0.2025,0.3585,0.2068,7.6109,0.6431,0.3012,55.1089,0.7762
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_7-min.JPG,Yes,0.0597,0.192,0.3455,0.0827,4.823,0.4066,0.1689,43.1418,0.5812
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_8-min.JPG,Yes,0.0831,0.2281,0.4076,0.063,4.2191,0.3549,0.2386,53.0007,0.6908
Dataset/IU_student/ITITIU17098\ITITIU17098_12-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_9-min.JPG,Yes,0.0411,0.158,0.2865,0.071,4.4075,0.3767,0.2057,50.7654,0.6414
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Yes,0.0451,0.1758,0.3003,0.0679,4.3455,0.3685,0.0968,33.0602,0.4399
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Yes,0.0258,0.1324,0.2271,0.0665,4.2632,0.3648,0.1695,44.8896,0.5823
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Yes,0.035,0.1482,0.2645,0.0616,4.1235,0.3509,0.1357,39.6168,0.521
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_17-min.JPG,Yes,0.0453,0.169,0.3011,0.0683,4.4052,0.3697,0.1176,35.668,0.485
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_18-min.JPG,Yes,0.0259,0.1283,0.2275,0.0458,3.5588,0.3026,0.0992,34.5435,0.4454
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_19-min.JPG,Yes,0.0945,0.2395,0.4348,0.1632,6.7325,0.5714,0.1949,46.0286,0.6243
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_2-min.jpg,Yes,0.2543,0.4629,0.7132,0.4138,10.1783,0.9097,0.3263,57.4848,0.8079
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_20-min.JPG,Yes,0.0528,0.182,0.325,0.084,4.8336,0.4099,0.1134,35.4119,0.4763
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_3-min.jpg,Yes,0.2578,0.3901,0.7181,0.2875,9.211,0.7582,0.3228,65.373,0.8035
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_4-min.jpg,Yes,0.1236,0.3001,0.4972,0.1771,7.1693,0.5952,0.2667,56.4568,0.7303
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_5-min.jpg,Yes,0.1317,0.2977,0.5131,0.1725,7.1111,0.5873,0.3056,57.5775,0.7818
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_6-min.JPG,Yes,0.0599,0.202,0.3462,0.1976,7.4289,0.6286,0.3021,55.5347,0.7773
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_7-min.JPG,Yes,0.0556,0.1868,0.3333,0.1118,5.6002,0.4728,0.1647,42.7872,0.5739
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_8-min.JPG,Yes,0.0769,0.2211,0.3923,0.0723,4.5131,0.3802,0.2426,53.6246,0.6966
Dataset/IU_student/ITITIU17098\ITITIU17098_13-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_9-min.JPG,Yes,0.0349,0.1496,0.2641,0.0945,5.0776,0.4348,0.1854,48.3869,0.6089
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Yes,0.0348,0.1731,0.2637,0.0931,5.071,0.4316,0.2296,52.7824,0.6776
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Yes,0.0328,0.14,0.256,0.0502,3.74,0.3167,0.175,45.525,0.5916
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_17-min.JPG,Yes,0.0356,0.1381,0.2669,0.0495,3.7636,0.3147,0.1623,42.6938,0.5698
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_18-min.JPG,Yes,0.0268,0.1443,0.2315,0.063,4.195,0.355,0.1654,44.8492,0.5752
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_19-min.JPG,Yes,0.0532,0.1661,0.326,0.0591,4.0698,0.3438,0.1507,41.2238,0.549
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_2-min.jpg,Yes,0.2863,0.484,0.7567,0.348,9.4063,0.8343,0.3337,59.3756,0.817
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_20-min.JPG,Yes,0.0379,0.1586,0.2755,0.078,4.6791,0.395,0.1258,37.9198,0.5017
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_3-min.jpg,Yes,0.2739,0.3711,0.7401,0.2662,8.8998,0.7297,0.2545,58.7869,0.7135
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_4-min.jpg,Yes,0.1456,0.3265,0.5396,0.1666,6.979,0.5772,0.2639,56.8683,0.7265
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_5-min.jpg,Yes,0.1414,0.3041,0.5317,0.1615,6.9057,0.5683,0.2823,56.3228,0.7515
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_6-min.JPG,Yes,0.0472,0.1474,0.3073,0.1059,5.4633,0.4602,0.2783,54.4897,0.7461
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_7-min.JPG,Yes,0.033,0.1509,0.2569,0.05,3.7635,0.3164,0.1633,43.2913,0.5714
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_8-min.JPG,Yes,0.0562,0.1918,0.3353,0.0839,4.8809,0.4096,0.2402,54.0348,0.6932
Dataset/IU_student/ITITIU17098\ITITIU17098_14-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_9-min.JPG,Yes,0.0416,0.1493,0.2886,0.085,4.843,0.4124,0.1983,50.4134,0.6298
Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Yes,0.0173,0.1158,0.1862,0.0868,4.8777,0.4166,0.1906,48.4916,0.6174
Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_17-min.JPG,Yes,0.0386,0.1672,0.2777,0.1109,5.5907,0.471,0.2261,51.6609,0.6725
Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_18-min.JPG,Yes,0.0219,0.1223,0.2092,0.0796,4.6762,0.3991,0.0832,32.3699,0.4078
Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_19-min.JPG,Yes,0.0839,0.236,0.4098,0.1695,6.8355,0.5823,0.2167,50.6694,0.6583
Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_2-min.jpg,Yes,0.2642,0.4743,0.7269,0.4599,10.6699,0.9591,0.3437,61.9582,0.8291
Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_20-min.JPG,Yes,0.0471,0.1778,0.3068,0.1154,5.6457,0.4805,0.1412,41.2052,0.5313
Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_3-min.jpg,Yes,0.2902,0.4245,0.7618,0.3027,9.4205,0.7781,0.3736,71.9234,0.8644
Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_4-min.jpg,Yes,0.1559,0.339,0.5583,0.2112,7.8005,0.6499,0.2639,57.9036,0.7264
Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_5-min.jpg,Yes,0.1602,0.3334,0.5661,0.2103,7.8229,0.6485,0.3179,61.1992,0.7974
Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_6-min.JPG,Yes,0.0447,0.1959,0.2991,0.1883,7.2269,0.6137,0.2839,56.6377,0.7535
Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_7-min.JPG,Yes,0.0431,0.1704,0.2938,0.1295,6.0076,0.509,0.2008,49.1576,0.6338
Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_8-min.JPG,Yes,0.0707,0.2172,0.3761,0.1276,5.9749,0.5053,0.2179,52.422,0.6602
Dataset/IU_student/ITITIU17098\ITITIU17098_15-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_9-min.JPG,Yes,0.0483,0.1837,0.3107,0.1148,5.5711,0.4791,0.1948,50.6758,0.6242
Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_17-min.JPG,Yes,0.0208,0.1088,0.2038,0.0302,2.9378,0.2457,0.0839,31.2202,0.4097
Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_18-min.JPG,Yes,0.0234,0.1221,0.2164,0.0377,3.2328,0.2745,0.0945,34.1769,0.4347
Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_19-min.JPG,Yes,0.0577,0.1797,0.3397,0.1098,5.5312,0.4687,0.1321,39.0911,0.514
Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_2-min.jpg,Yes,0.2607,0.4659,0.7221,0.3942,9.9577,0.8879,0.3295,59.7746,0.8118
Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_20-min.JPG,Yes,0.0304,0.1355,0.2465,0.0599,4.0865,0.346,0.1119,36.1884,0.4731
Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_3-min.jpg,Yes,0.2785,0.3925,0.7463,0.2586,8.7505,0.7192,0.2866,62.6356,0.7571
Dataset/IU_student/ITITIU17098\ITITIU17098_16-min.JPG,Dataset/IU_student/ITITIU17098\ITITIU17098_4-min.jpg,Yes,0.1437,0.3213,0.5362,0.1553,6.7229,0.5572,0.2936,60.4639,0.7663
